series,timestamp,value,label
pressure,2023-09-16T22:37:50.000Z,715.68947,
pressure,2023-09-16T22:57:50.000Z,715.86184,
pressure,2023-09-16T23:17:50.000Z,715.92228,
pressure,2023-09-16T23:37:50.000Z,715.86605,
pressure,2023-09-16T23:57:50.000Z,715.71102,
pressure,2023-09-17T00:17:50.000Z,715.59027,
pressure,2023-09-17T00:37:50.000Z,715.21099,
pressure,2023-09-17T00:57:50.000Z,715.19794,
pressure,2023-09-17T01:17:50.000Z,715.39634,
pressure,2023-09-17T01:37:50.000Z,715.32305,
pressure,2023-09-17T01:57:50.000Z,715.19804,
pressure,2023-09-17T02:17:50.000Z,715.2713,
pressure,2023-09-17T02:37:50.000Z,715.53833,
pressure,2023-09-17T02:57:50.000Z,715.59439,
pressure,2023-09-17T03:17:50.000Z,715.70206,
pressure,2023-09-17T03:37:50.000Z,715.77929,
pressure,2023-09-17T03:57:50.000Z,715.90001,
pressure,2023-09-17T04:17:50.000Z,715.92581,
pressure,2023-09-17T04:37:50.000Z,715.95186,
pressure,2023-09-17T04:57:50.000Z,715.92605,
pressure,2023-09-17T05:17:50.000Z,715.9346,
pressure,2023-09-17T05:37:50.000Z,715.98198,
pressure,2023-09-17T05:57:50.000Z,715.93036,
pressure,2023-09-17T06:17:50.000Z,715.91303,
pressure,2023-09-17T06:37:50.000Z,715.91742,
pressure,2023-09-17T06:57:50.000Z,715.87435,
pressure,2023-09-17T07:17:50.000Z,715.85278,
pressure,2023-09-17T07:37:50.000Z,715.80078,
pressure,2023-09-17T07:57:50.000Z,715.82235,
pressure,2023-09-17T08:17:50.000Z,715.77498,
pressure,2023-09-17T08:37:50.000Z,715.77498,
pressure,2023-09-17T08:57:50.000Z,715.5854,
pressure,2023-09-17T09:17:50.000Z,715.54672,
pressure,2023-09-17T09:37:50.000Z,715.52939,
pressure,2023-09-17T09:57:50.000Z,715.39164,
pressure,2023-09-17T10:17:50.000Z,715.36166,
pressure,2023-09-17T10:37:50.000Z,715.28843,
pressure,2023-09-17T10:57:50.000Z,715.19792,
pressure,2023-09-17T11:17:50.000Z,715.17643,
pressure,2023-09-17T11:37:50.000Z,715.09456,
pressure,2023-09-17T11:57:50.000Z,715.08158,
pressure,2023-09-17T12:17:50.000Z,715.08163,
pressure,2023-09-17T12:37:50.000Z,715.09889,
pressure,2023-09-17T12:57:50.000Z,715.12038,
pressure,2023-09-17T13:17:50.000Z,714.40933,
pressure,2023-09-17T13:37:50.000Z,714.45675,
pressure,2023-09-17T13:57:50.000Z,714.655,
pressure,2023-09-17T14:17:50.000Z,714.86187,
pressure,2023-09-17T14:37:50.000Z,714.72377,
pressure,2023-09-17T14:57:50.000Z,714.46803,
pressure,2023-09-17T15:17:50.000Z,714.83103,
pressure,2023-09-17T15:37:50.000Z,714.77106,
pressure,2023-09-17T15:57:50.000Z,715.18062,
pressure,2023-09-17T16:17:50.000Z,715.22806,
pressure,2023-09-17T16:37:50.000Z,715.66762,
pressure,2023-09-17T16:57:50.000Z,715.65488,
pressure,2023-09-17T17:17:50.000Z,716.2111,
pressure,2023-09-17T17:37:50.000Z,716.38778,
pressure,2023-09-17T17:57:50.000Z,715.85149,
pressure,2023-09-17T18:17:50.000Z,715.58585,
pressure,2023-09-17T18:37:50.000Z,716.02571,
pressure,2023-09-17T18:57:50.000Z,716.10767,
pressure,2023-09-17T19:17:50.000Z,716.05993,
pressure,2023-09-17T19:37:50.000Z,716.15079,
pressure,2023-09-17T19:57:50.000Z,716.14196,
pressure,2023-09-17T20:17:50.000Z,716.25407,
pressure,2023-09-17T20:37:50.000Z,715.74979,
pressure,2023-09-17T20:57:50.000Z,715.62049,
pressure,2023-09-17T21:17:50.000Z,715.57303,
pressure,2023-09-17T21:37:50.000Z,715.24525,
pressure,2023-09-17T21:57:50.000Z,715.05979,
pressure,2023-09-17T22:17:50.000Z,714.98656,
pressure,2023-09-17T22:37:50.000Z,714.98239,
pressure,2023-09-17T22:57:50.000Z,714.86598,
pressure,2023-09-17T23:17:50.000Z,714.77531,
pressure,2023-09-17T23:37:50.000Z,714.81438,
pressure,2023-09-17T23:57:50.000Z,714.30971,
pressure,2023-09-18T00:17:50.000Z,714.18468,
pressure,2023-09-18T00:37:50.000Z,714.52973,
pressure,2023-09-18T00:57:50.000Z,714.46091,
pressure,2023-09-18T01:17:50.000Z,714.31415,
pressure,2023-09-18T01:37:50.000Z,713.77508,
pressure,2023-09-18T01:57:50.000Z,713.57688,
pressure,2023-09-18T02:17:50.000Z,713.46488,
pressure,2023-09-18T02:37:50.000Z,714.16795,
pressure,2023-09-18T02:57:50.000Z,714.23691,
pressure,2023-09-18T03:17:50.000Z,714.31453,
pressure,2023-09-18T03:37:50.000Z,714.46105,
pressure,2023-09-18T03:57:50.000Z,714.5084,
pressure,2023-09-18T04:17:50.000Z,714.586,
pressure,2023-09-18T04:37:50.000Z,714.59462,
pressure,2023-09-18T04:57:50.000Z,714.62051,
pressure,2023-09-18T05:17:50.000Z,714.6248,
pressure,2023-09-18T05:37:50.000Z,714.60324,
pressure,2023-09-18T05:57:50.000Z,714.60326,
pressure,2023-09-18T06:17:50.000Z,714.63346,
pressure,2023-09-18T06:37:50.000Z,714.53865,
pressure,2023-09-18T06:57:50.000Z,714.54296,
pressure,2023-09-18T07:17:50.000Z,714.58175,
pressure,2023-09-18T07:37:50.000Z,714.52142,
pressure,2023-09-18T07:57:50.000Z,714.41367,
pressure,2023-09-18T08:17:50.000Z,714.40073,
pressure,2023-09-18T08:37:50.000Z,714.33607,
pressure,2023-09-18T08:57:50.000Z,714.25844,
pressure,2023-09-18T09:17:50.000Z,714.10753,
pressure,2023-09-18T09:37:50.000Z,714.02565,
pressure,2023-09-18T09:57:50.000Z,713.94803,
pressure,2023-09-18T10:17:50.000Z,713.77986,
pressure,2023-09-18T10:37:50.000Z,713.71083,
pressure,2023-09-18T10:57:50.000Z,713.70645,
pressure,2023-09-18T11:17:50.000Z,713.62042,
pressure,2023-09-18T11:37:50.000Z,713.46936,
pressure,2023-09-18T11:57:50.000Z,713.39171,
pressure,2023-09-18T12:17:50.000Z,713.33126,
pressure,2023-09-18T12:37:50.000Z,713.40883,
pressure,2023-09-18T12:57:50.000Z,713.38327,
pressure,2023-09-18T13:17:50.000Z,712.63728,
pressure,2023-09-18T13:37:50.000Z,712.79633,
pressure,2023-09-18T13:57:50.000Z,713.25819,
pressure,2023-09-18T14:17:50.000Z,713.15901,
pressure,2023-09-18T14:37:50.000Z,712.88194,
pressure,2023-09-18T14:57:50.000Z,712.61327,
pressure,2023-09-18T15:17:50.000Z,713.39028,
pressure,2023-09-18T15:37:50.000Z,713.49383,
pressure,2023-09-18T15:57:50.000Z,713.41495,
pressure,2023-09-18T16:17:50.000Z,713.62305,
pressure,2023-09-18T16:37:50.000Z,713.58323,
pressure,2023-09-18T16:57:50.000Z,713.58042,
pressure,2023-09-18T17:17:50.000Z,713.64271,
pressure,2023-09-18T17:37:50.000Z,713.82894,
pressure,2023-09-18T17:57:50.000Z,713.65686,
pressure,2023-09-18T18:17:50.000Z,713.1612,
pressure,2023-09-18T18:37:50.000Z,713.18235,
pressure,2023-09-18T18:57:50.000Z,713.99011,
pressure,2023-09-18T19:17:50.000Z,713.79883,
pressure,2023-09-18T19:37:50.000Z,713.68299,
pressure,2023-09-18T19:57:50.000Z,713.65618,
pressure,2023-09-18T20:17:50.000Z,713.5192,
pressure,2023-09-18T20:37:50.000Z,713.50096,
pressure,2023-09-18T20:57:50.000Z,713.60297,
pressure,2023-09-18T21:17:50.000Z,712.89742,
pressure,2023-09-18T21:37:50.000Z,713.05797,
pressure,2023-09-18T21:57:50.000Z,713.13468,
pressure,2023-09-18T22:17:50.000Z,713.15655,
pressure,2023-09-18T22:37:50.000Z,712.92886,
pressure,2023-09-18T22:57:50.000Z,712.90519,
pressure,2023-09-18T23:17:50.000Z,712.90621,
pressure,2023-09-18T23:37:50.000Z,712.6025,
pressure,2023-09-18T23:57:50.000Z,712.31049,
pressure,2023-09-19T00:17:50.000Z,712.30551,
pressure,2023-09-19T00:37:50.000Z,712.28019,
pressure,2023-09-19T00:57:50.000Z,711.91354,
pressure,2023-09-19T01:17:50.000Z,712.1474,
